history_schema_version,stage,candidate,auroc,is_winner,config_json,control_fold_mean,control_fold_std,control_n_folds,control_fold_aurocs,auroc_ADC,auroc_FA,auroc_FLAIR,auroc_FLAIR*blur,auroc_T1w,auroc_T1w*blur,auroc_qT1,auroc_qT1*blur,auroc_thickness,auroc_ADC_std,auroc_FA_std,auroc_FLAIR_std,auroc_FLAIR*blur_std,auroc_T1w_std,auroc_T1w*blur_std,auroc_qT1_std,auroc_qT1*blur_std,auroc_thickness_std,normalization,wscore_preprocessing,intensity_depth_model,blur_depth_model,method,wscore_covariate_model,wscore_distribution,predictive_wscore,use_curvature_covariates,wscore_surface_smoothing_iterations,control_correlation_filter,control_correlation_quantile,prediction_variance_percentile,sample_surface,t1w_flair_self_norm,quant_sample_surface,subject_norm,dataset_norm,outlier_method,qc_alpha,cortical_smoothing,hippocampal_smoothing,site_harmonization,scoring_site_covariate,control_correlation_threshold
6,outlier_detection,WINNER:robpca_a0.01,0.5992402132292325,True,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5992402132292325,0.0,1,[0.59924],0.559829,0.539057,0.616959,0.666584,0.522705,0.657845,0.620667,0.60884,0.616189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,robpca,0.01,0,0,none,False,0.6
6,dataset_norm,ravel,0.5935562423485216,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""ravel"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""ravel"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5935562423485216,0.0,1,[0.593556],0.559829,0.539057,0.618371,0.643388,0.533946,0.622915,0.620667,0.60884,0.616189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ravel,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,ravel,robpca,0.01,0,0,none,False,0.6
6,dataset_norm,nyul,0.5932802214731911,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""nyul"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripeNyul"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5932802214731911,0.0,1,[0.59328],0.559829,0.539057,0.623877,0.63478,0.544176,0.61358,0.620667,0.60884,0.616189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripeNyul,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,nyul,robpca,0.01,0,0,none,False,0.6
6,dataset_norm,WINNER:keep,0.5992402132292325,True,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 0, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.5992402132292325,0.0,1,[0.59924],0.559829,0.539057,0.616959,0.666584,0.522705,0.657845,0.620667,0.60884,0.616189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,robpca,0.01,0,0,none,False,0.6
6,cortical_smoothing,cortex_2mm,0.6089998804077497,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 2, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6089998804077497,0.0,1,[0.609],0.568565,0.547528,0.628364,0.680353,0.521682,0.677406,0.63599,0.621533,0.61934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,robpca,0.01,2,0,none,False,0.6
6,cortical_smoothing,cortex_5mm,0.6285374821774412,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 5, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6285374821774412,0.0,1,[0.628537],0.594967,0.568891,0.643938,0.700205,0.526233,0.701256,0.657206,0.648616,0.639899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,robpca,0.01,5,0,none,False,0.6
6,cortical_smoothing,cortex_10mm,0.6495742053019717,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 10, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6495742053019717,0.0,1,[0.649574],0.625748,0.578934,0.658942,0.729669,0.530319,0.718459,0.684802,0.670088,0.677077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,robpca,0.01,10,0,none,False,0.6
6,cortical_smoothing,WINNER:cortex_10mm,0.6495742053019717,True,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 10, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 0, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6495742053019717,0.0,1,[0.649574],0.625748,0.578934,0.658942,0.729669,0.530319,0.718459,0.684802,0.670088,0.677077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,robpca,0.01,10,0,none,False,0.6
6,hippocampal_smoothing,hippocampus_1mm,0.6497260757444765,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 10, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 1, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6497260757444765,0.0,1,[0.649726],0.626119,0.578983,0.658942,0.729669,0.531077,0.718381,0.684504,0.668772,0.677999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,robpca,0.01,10,1,none,False,0.6
6,hippocampal_smoothing,hippocampus_2mm,0.6497260807366421,False,"{""blur_depth_model"": ""boundary_gradient"", ""control_correlation_filter"": false, ""control_correlation_quantile"": null, ""control_correlation_threshold"": 0.6, ""cortical_smoothing"": 10, ""dataset_norm"": ""none"", ""hippocampal_smoothing"": 2, ""intensity_depth_model"": ""sample_white"", ""method"": ""zscore"", ""normalization"": ""whitestripe"", ""outlier_method"": ""robpca"", ""prediction_variance_percentile"": null, ""predictive_wscore"": false, ""qc_alpha"": 0.01, ""quant_sample_surface"": ""white"", ""sample_surface"": ""white"", ""scoring_site_covariate"": false, ""site_harmonization"": ""none"", ""subject_norm"": ""whitestripe"", ""t1w_flair_self_norm"": null, ""use_curvature_covariates"": false, ""wscore_covariate_model"": ""linear"", ""wscore_distribution"": ""gaussian"", ""wscore_preprocessing"": ""none"", ""wscore_surface_smoothing_iterations"": 0}",0.6497260807366421,0.0,1,[0.649726],0.626119,0.578983,0.658942,0.729669,0.531077,0.718381,0.684504,0.668772,0.677999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitestripe,none,sample_white,boundary_gradient,zscore,linear,gaussian,False,False,0,False,,,white,,white,whitestripe,none,robpca,0.01,10,2,none,False,0.6
